Port,,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,
PortB,PB9,,,TIM4_CH4,SAI1_D2,I2C1_SDA,SPI2_NSS,,LTDC_B0,SDMMC1_CDIR,FDCAN1_TX,DCMI_D7,SDMMC2_D5,SDMMC1_D5,SAI1_FS_A,TIM17_CH1,EVENTOUT,
PortB,PB10,,TIM2_CH3,LPTIM3_CH1,I2C4_SCL,I2C2_SCL,SPI2_SCK,,USART3_TX,LPUART1_RX,TSC_SYNC,OCTOSPIM_P1_CLK,,COMP1_OUT,SAI1_SCK_A,,EVENTOUT,
PortB,PB11,,TIM2_CH4,,I2C4_SDA,I2C2_SDA,,,USART3_RX,LPUART1_TX,,OCTOSPIM_P1_NCS,,COMP2_OUT,,,EVENTOUT,
PortB,PB12,,TIM1_BKIN,I2C6_SMBA,,I2C2_SMBA,SPI2_NSS,,,LPUART1_RTS,TSC_G1_IO1,OCTOSPIM_P1_NCLK,,,SAI2_FS_A,TIM15_BKIN,EVENTOUT,
PortB,PB13,,TIM1_CH1N,LPTIM3_IN1,,I2C2_SCL,SPI2_SCK,,USART3_CTS,LPUART1_CTS,TSC_G1_IO2,,,,SAI2_SCK_A,TIM15_CH1N,EVENTOUT,
PortB,PB14,,TIM1_CH2N,LPTIM3_ETR,TIM8_CH2N,I2C2_SDA,SPI2_MISO,,USART3_RTS,,TSC_G1_IO3,,,SDMMC2_D0,SAI2_MCLK_A,TIM15_CH1,EVENTOUT,
PortB,PB15,,TIM1_CH3N,LPTIM2_IN2,TIM8_CH3N,,SPI2_MOSI,,,,,,FMC_NBL1,SDMMC2_D1,SAI2_SD_A,TIM15_CH2,EVENTOUT,
PortC,PC0,,LPTIM1_IN1,,OCTOSPIM_P1_IO7,I2C3_SCL,,,USART6_CTS,LPUART1_RX,,,,SDMMC1_D5,SAI2_FS_A,LPTIM2_IN1,EVENTOUT,ADC1_IN1/ADC2_IN1/ADC4_IN1
PortC,PC1,,LPTIM1_CH1,,SPI2_MOSI,I2C3_SDA,,,,LPUART1_TX,,OCTOSPIM_P1_IO4,,SDMMC2_CK,SAI1_SD_A,,EVENTOUT,ADC1_IN2/ADC2_IN2/ADC4_IN2
PortC,PC2,,LPTIM1_IN2,,,,SPI2_MISO,,USART6_RX,,,OCTOSPIM_P1_IO5,,,,,EVENTOUT,ADC1_IN3/ADC2_IN3/ADC4_IN3
PortC,PC3,,LPTIM1_ETR,LPTIM3_CH1,SAI1_D1,,SPI2_MOSI,,USART6_TX,,,OCTOSPIM_P1_IO6,,,SAI1_SD_A,LPTIM2_ETR,EVENTOUT,ADC1_IN4/ADC2_IN4/ADC4_IN4
PortC,PC4,,,I2C6_SMBA,,,,,USART3_TX,,,OCTOSPIM_P1_IO7,,,,,EVENTOUT,ADC1_IN13/ADC2_IN13/ADC4_IN22
PortC,PC5,,TIM1_CH4N,,SAI1_D3,,,,USART3_RX,,,,,,,,EVENTOUT,ADC1_IN14/ADC2_IN14/ADC4_IN23
PortC,PC6,,,TIM3_CH1,TIM8_CH1,,,,LTDC_R0,SDMMC1_D0DIR,TSC_G4_IO1,DCMI_D0,SDMMC2_D6,SDMMC1_D6,SAI2_MCLK_A,,EVENTOUT,
PortC,PC7,,,TIM3_CH2,TIM8_CH2,,,,LTDC_R1,SDMMC1_D123DIR,TSC_G4_IO2,DCMI_D1,SDMMC2_D7,SDMMC1_D7,SAI2_MCLK_B,LPTIM2_CH2,EVENTOUT,
PortC,PC8,,,TIM3_CH3,TIM8_CH3,,,,USART6_RX,LTDC_G0,TSC_G4_IO3,DCMI_D2,,SDMMC1_D0,,LPTIM3_CH1,EVENTOUT,
PortC,PC9,,TIM8_BKIN2,TIM3_CH4,TIM8_CH4,DCMI_D3,,,USART6_TX,LTDC_G1,TSC_G4_IO4,,,SDMMC1_D1,,LPTIM3_CH2,EVENTOUT,
PortC,PC10,,,LPTIM3_ETR,,,,SPI3_SCK,USART3_TX,UART4_TX,TSC_G3_IO2,DCMI_D8,,SDMMC1_D2,SAI2_SCK_B,,EVENTOUT,
PortC,PC11,,,LPTIM3_IN1,,DCMI_D2,OCTOSPIM_P1_NCS,SPI3_MISO,USART3_RX,UART4_RX,TSC_G3_IO3,DCMI_D4,,SDMMC1_D3,SAI2_MCLK_B,,EVENTOUT,
PortC,PC12,,,,,,,SPI3_MOSI,,UART5_TX,TSC_G3_IO4,DCMI_D9,,SDMMC1_CK,SAI2_SD_B,,EVENTOUT,
PortC,PC13,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC14,,,,,,,,,,,,,,,,EVENTOUT,
PortC,PC15,,,,,,,,,,,,,,,,EVENTOUT,
PortD,PD0,,,I2C6_SDA,TIM8_CH4N,I2C5_SDA,SPI2_NSS,,,LTDC_B4,FDCAN1_RX,,,FMC_D2,,,EVENTOUT,
PortD,PD1,,,I2C6_SCL,,I2C5_SCL,SPI2_SCK,,,LTDC_B5,FDCAN1_TX,,,FMC_D3,,,EVENTOUT,
PortD,PD2,,,,,I2C5_SMBA,,,USART3_RTS,UART5_RX,TSC_SYNC,DCMI_D11,,SDMMC1_CMD,LPTIM4_ETR,FMC_A20,EVENTOUT,
PortD,PD3,,,I2C6_SMBA,SPI2_SCK,DCMI_D5,SPI2_MISO,,USART2_CTS,LTDC_CLK,,OCTOSPIM_P2_NCS,,FMC_CLK,,,EVENTOUT,
PortD,PD4,,,,,,SPI2_MOSI,,USART2_RTS,,,OCTOSPIM_P1_IO4,,FMC_NOE,,,EVENTOUT,
PortD,PD5,,,,,,,,USART2_TX,,,OCTOSPIM_P1_IO5,,FMC_NWE,,,EVENTOUT,
PortD,PD6,,,,SAI1_D1,DCMI_D10,SPI3_MOSI,,USART2_RX,LTDC_DE,,OCTOSPIM_P1_IO6,SDMMC2_CK,FMC_NWAIT,SAI1_SD_A,,EVENTOUT,
PortD,PD7,,,,,,,,,,,OCTOSPIM_P1_IO7,SDMMC2_CMD,FMC_NE1,LPTIM4_OUT,,EVENTOUT,
PortD,PD8,,,,,,,,USART3_TX,LTDC_R3,,DCMI_HSYNC,,FMC_D13,,,EVENTOUT,
PortD,PD9,,,LPTIM2_IN2,,,,,USART3_RX,LTDC_R4,,DCMI_PIXCLK,,FMC_D14,SAI2_MCLK_A,LPTIM3_IN1,EVENTOUT,
PortD,PD10,,,LPTIM2_CH2,,I2C5_SMBA,,,,LTDC_R5,TSC_G6_IO1,,,FMC_D15,SAI2_SCK_A,LPTIM3_ETR,EVENTOUT,
PortD,PD11,,,,,I2C4_SMBA,,,USART3_CTS,LTDC_R6,TSC_G6_IO2,,,FMC_CLE,SAI2_SD_A,LPTIM2_ETR,EVENTOUT,ADC4_IN15
PortD,PD12,,,TIM4_CH1,,I2C4_SCL,,,USART3_RTS,LTDC_R7,TSC_G6_IO3,,,FMC_ALE,SAI2_FS_A,LPTIM2_IN1,EVENTOUT,ADC4_IN16
PortD,PD13,,,TIM4_CH2,,I2C4_SDA,,,USART6_CTS,LTDC_VSYNC,TSC_G6_IO4,,,FMC_A18,LPTIM4_IN1,LPTIM2_CH1,EVENTOUT,ADC4_IN17
PortD,PD14,,,TIM4_CH3,,,,,,LTDC_B2,,,,FMC_D0,,LPTIM3_CH1,EVENTOUT,
PortD,PD15,,,TIM4_CH4,,,,,USART6_RTS,LTDC_B3,,,,FMC_D1,,LPTIM3_CH2,EVENTOUT,
PortE,PE0,,,,,,,,USART6_RX,LTDC_HSYNC,,DCMI_D2,,FMC_NBL0,,TIM16_CH1,EVENTOUT,
PortE,PE1,,,,,,,,USART6_TX,LTDC_VSYNC,,DCMI_D3,,FMC_NBL1,,TIM17_CH1,EVENTOUT,
PortE,PE2,,,,SAI1_CK1,,,,,LTDC_R0,TSC_G7_IO1,,,FMC_A23,SAI1_MCLK_A,,EVENTOUT,
PortE,PE3,,,TIM3_CH1,OCTOSPIM_P1_DQS,,,,USART6_CTS,LTDC_R1,TSC_G7_IO2,,,FMC_A19,SAI1_SD_B,,EVENTOUT,
PortE,PE4,,,TIM3_CH2,SAI1_D2,,,,USART6_RTS,LTDC_B0,TSC_G7_IO3,DCMI_D4,,FMC_A20,SAI1_FS_A,,EVENTOUT,
PortE,PE5,,,TIM3_CH3,SAI1_CK2,,,,,LTDC_G0,TSC_G7_IO4,DCMI_D6,,FMC_A21,SAI1_SCK_A,,EVENTOUT,
PortE,PE6,,,TIM3_CH4,SAI1_D1,,,,,LTDC_G1,,DCMI_D7,,FMC_A22,SAI1_SD_A,,EVENTOUT,
PortE,PE7,,,,,,,,,LTDC_B6,,,,FMC_D4,SAI1_SD_B,,EVENTOUT,
PortE,PE8,,TIM1_CH1N,,,,,,,LTDC_B7,,,,FMC_D5,SAI1_SCK_B,,EVENTOUT,
PortE,PE9,,TIM1_CH1,,,,,,,LTDC_G2,,OCTOSPIM_P1_NCLK,,FMC_D6,SAI1_FS_B,,EVENTOUT,
PortE,PE10,,TIM1_CH2N,,,,,,,LTDC_G3,TSC_G5_IO1,OCTOSPIM_P1_CLK,,FMC_D7,SAI1_MCLK_B,,EVENTOUT,
PortE,PE11,,TIM1_CH2,,,,,,,LTDC_G4,TSC_G5_IO2,OCTOSPIM_P1_NCS,,FMC_D8,,,EVENTOUT,
PortE,PE12,,TIM1_CH3N,,,,SPI1_NSS,,,LTDC_G5,TSC_G5_IO3,OCTOSPIM_P1_IO0,,FMC_D9,,,EVENTOUT,
PortE,PE13,,TIM1_CH3,,,,SPI1_SCK,,,LTDC_G6,TSC_G5_IO4,OCTOSPIM_P1_IO1,,FMC_D10,,,EVENTOUT,
PortE,PE14,,TIM1_CH4,TIM1_BKIN2,,,SPI1_MISO,,,LTDC_G7,,OCTOSPIM_P1_IO2,,FMC_D11,,,EVENTOUT,
PortE,PE15,,TIM1_BKIN,,TIM1_CH4N,,SPI1_MOSI,,,LTDC_R2,,OCTOSPIM_P1_IO3,,FMC_D12,,,EVENTOUT,
PortF,PF0,,,I2C6_SDA,,I2C2_SDA,OCTOSPIM_P2_IO0,,USART6_TX,,,,,FMC_A0,,,EVENTOUT,
PortF,PF1,,,I2C6_SCL,,I2C2_SCL,OCTOSPIM_P2_IO1,,USART6_RX,,,,,FMC_A1,,,EVENTOUT,
PortF,PF2,,,LPTIM3_CH2,,I2C2_SMBA,OCTOSPIM_P2_IO2,,,,,,,FMC_A2,,,EVENTOUT,
PortF,PF3,,,LPTIM3_IN1,,,OCTOSPIM_P2_IO3,,USART6_CTS,UART5_TX,,,,FMC_A3,,,EVENTOUT,
PortF,PF4,,,LPTIM3_ETR,,,OCTOSPIM_P2_CLK,,USART6_RTS,UART5_RX,,,,FMC_A4,,,EVENTOUT,
PortF,PF5,,,LPTIM3_CH1,,,OCTOSPIM_P2_NCLK,,,,,,,FMC_A5,,,EVENTOUT,
PortF,PF6,,,TIM5_CH1,,DCMI_D12,OCTOSPIM_P2_NCS,,,,,OCTOSPIM_P1_IO3,,,SAI1_SD_B,,EVENTOUT,
PortF,PF7,,,TIM5_CH2,,,,,,,FDCAN1_RX,OCTOSPIM_P1_IO2,,,SAI1_MCLK_B,,EVENTOUT,
PortF,PF8,,,TIM5_CH3,,,,,,,FDCAN1_TX,OCTOSPIM_P1_IO0,,,SAI1_SCK_B,,EVENTOUT,
PortF,PF9,,,TIM5_CH4,,,,,,,,OCTOSPIM_P1_IO1,,,SAI1_FS_B,TIM15_CH1,EVENTOUT,
PortF,PF10,,,,OCTOSPIM_P1_CLK,,,,,,,DCMI_D11,,,SAI1_D3,TIM15_CH2,EVENTOUT,
PortF,PF11,,,,OCTOSPIM_P1_NCLK,,,,,LTDC_DE,,DCMI_D12,,,LPTIM4_IN1,,EVENTOUT,
PortF,PF12,,,,,,OCTOSPIM_P2_DQS,,,LTDC_B0,,,,FMC_A6,LPTIM4_ETR,,EVENTOUT,
PortF,PF13,,,,,I2C4_SMBA,,,,LTDC_B1,,,,FMC_A7,LPTIM4_OUT,,EVENTOUT,
PortF,PF14,,,,,I2C4_SCL,,,,LTDC_G0,TSC_G8_IO1,,,FMC_A8,,,EVENTOUT,ADC4_IN5
PortF,PF15,,,,,I2C4_SDA,,,,LTDC_G1,TSC_G8_IO2,,,FMC_A9,,,EVENTOUT,ADC4_IN6
PortG,PG0,,,,,,OCTOSPIM_P2_IO4,,,,TSC_G8_IO3,,,FMC_A10,,,EVENTOUT,ADC4_IN7
PortG,PG1,,,,,,OCTOSPIM_P2_IO5,,,,TSC_G8_IO4,,,FMC_A11,,,EVENTOUT,ADC4_IN8
PortG,PG2,,,,,,SPI1_SCK,,,,,,,FMC_A12,SAI2_SCK_B,,EVENTOUT,
PortG,PG3,,,,,,SPI1_MISO,,,,,,,FMC_A13,SAI2_FS_B,,EVENTOUT,
PortG,PG4,,,,,,SPI1_MOSI,,,,,,,FMC_A14,SAI2_MCLK_B,,EVENTOUT,
PortG,PG5,,,,,,SPI1_NSS,,,LPUART1_CTS,,,,FMC_A15,SAI2_SD_B,,EVENTOUT,
PortG,PG6,,,,OCTOSPIM_P1_DQS,I2C3_SMBA,,,LTDC_R1,LPUART1_RTS,,,,,,,EVENTOUT,
PortG,PG7,,,,SAI1_CK1,I2C3_SCL,OCTOSPIM_P2_DQS,,,LPUART1_TX,,,,FMC_INT,SAI1_MCLK_A,,EVENTOUT,
PortG,PG8,,,,,I2C3_SDA,,,,LPUART1_RX,,,,,,,EVENTOUT,
PortG,PG9,,,,,,OCTOSPIM_P2_IO6,SPI3_SCK,USART1_TX,,,,,FMC_NE2,SAI2_SCK_A,TIM15_CH1N,EVENTOUT,
PortG,PG10,,LPTIM1_IN1,,,,OCTOSPIM_P2_IO7,SPI3_MISO,USART1_RX,,,,,FMC_NE3,SAI2_FS_A,TIM15_CH1,EVENTOUT,
PortG,PG11,,LPTIM1_IN2,,OCTOSPIM_P1_IO5,,,SPI3_MOSI,USART1_CTS,,,,,,SAI2_MCLK_A,TIM15_CH2,EVENTOUT,
PortG,PG12,,LPTIM1_ETR,,,,OCTOSPIM_P2_NCS,SPI3_NSS,USART1_RTS,,,,,FMC_NE4,SAI2_SD_A,,EVENTOUT,
PortG,PG13,,,,,I2C1_SDA,,,,LTDC_R0,,,,FMC_A24,,,EVENTOUT,
PortG,PG14,,LPTIM1_CH2,,,I2C1_SCL,,,,LTDC_R1,,,,FMC_A25,,,EVENTOUT,
PortG,PG15,,LPTIM1_CH1,,,I2C1_SMBA,OCTOSPIM_P2_DQS,,,,,DCMI_D13,,,,,EVENTOUT,
PortH,PH0,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH1,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH2,,,,OCTOSPIM_P1_IO4,,,,,,,,,,,,EVENTOUT,
PortH,PH3,,,,,,,,,,,,,,,,EVENTOUT,
PortH,PH4,,,I2C5_SDA,,I2C2_SCL,OCTOSPIM_P2_DQS,,,,,,,,,,EVENTOUT,
PortH,PH5,,,I2C5_SCL,,I2C2_SDA,,,,,,DCMI_PIXCLK,,,,,EVENTOUT,
PortH,PH6,,,I2C5_SMBA,,I2C2_SMBA,OCTOSPIM_P2_CLK,,,,,DCMI_D8,,,,,EVENTOUT,
PortH,PH7,,,,,I2C3_SCL,OCTOSPIM_P2_NCLK,,,,,DCMI_D9,,,,,EVENTOUT,
PortH,PH8,,,,,I2C3_SDA,OCTOSPIM_P2_IO3,,,,,DCMI_HSYNC,,,,,EVENTOUT,
PortH,PH9,,,,,I2C3_SMBA,OCTOSPIM_P2_IO4,,,HSPI1_NCS,,DCMI_D0,,,,,EVENTOUT,
PortH,PH10,,,TIM5_CH1,,,OCTOSPIM_P2_IO5,,,HSPI1_IO0,,DCMI_D1,,,,,EVENTOUT,
PortH,PH11,,,TIM5_CH2,,,OCTOSPIM_P2_IO6,,,HSPI1_IO1,,DCMI_D2,,,,,EVENTOUT,
PortH,PH12,,,TIM5_CH3,TIM8_CH4N,,OCTOSPIM_P2_IO7,,,HSPI1_IO2,,DCMI_D3,,,,,EVENTOUT,
PortH,PH13,,,,TIM8_CH1N,,,,,HSPI1_IO3,FDCAN1_TX,,,,,,EVENTOUT,
PortH,PH14,,,,TIM8_CH2N,,,,,HSPI1_IO4,FDCAN1_RX,DCMI_D4,,,,,EVENTOUT,
PortH,PH15,,,,TIM8_CH3N,,OCTOSPIM_P2_IO6,,,HSPI1_IO5,,DCMI_D11,,,,,EVENTOUT,
PortI,PI0,,,TIM5_CH4,OCTOSPIM_P1_IO5,,SPI2_NSS,,,HSPI1_IO6,,DCMI_D13,,,,,EVENTOUT,
PortI,PI1,,,,,,SPI2_SCK,OCTOSPIM_P2_IO2,,HSPI1_IO7,,DCMI_D8,,,,,EVENTOUT,
PortI,PI2,,,,TIM8_CH4,,SPI2_MISO,OCTOSPIM_P2_IO1,,HSPI1_DQS0,,DCMI_D9,,,,,EVENTOUT,
PortI,PI3,,,,,,SPI2_MOSI,OCTOSPIM_P2_IO0,,HSPI1_CLK,,DCMI_D10,,,,,EVENTOUT,
PortI,PI4,,,,TIM8_BKIN,,,,,HSPI1_NCLK,,DCMI_D5,,,,,EVENTOUT,
PortI,PI5,,,,TIM8_CH1,,OCTOSPIM_P2_NCS,,,,,DCMI_VSYNC,,,,,EVENTOUT,
PortI,PI6,,,,TIM8_CH2,,OCTOSPIM_P2_CLK,,,,,DCMI_D6,,,,,EVENTOUT,
PortI,PI7,,,,TIM8_CH3,,OCTOSPIM_P2_NCLK,,,,,DCMI_D7,,,,,EVENTOUT,
PortI,PI8,,,,,,,,,HSPI1_DQS1,,,,,,,EVENTOUT,
PortI,PI9,,,,,,,,,HSPI1_IO8,,,,,,,EVENTOUT,
PortI,PI10,,,,,,,,,HSPI1_IO9,,,,,,,EVENTOUT,
PortI,PI11,,,,,,,,,HSPI1_IO10,,,,,,,EVENTOUT,
PortI,PI12,,,,,,,,,HSPI1_IO11,,,,,,,EVENTOUT,
PortI,PI13,,,,,,,,,HSPI1_IO12,,,,,,,EVENTOUT,
PortI,PI14,,,,,,,,,HSPI1_IO13,,,,,,,EVENTOUT,
PortI,PI15,,,,,,,,,HSPI1_IO14,,,,,,,EVENTOUT,
